situation,domain,emotions,negative_thought,distortions,prefix,input_text,target_text
Helen’s husband has not called her yet today.,Romantic,"Sad, Fearful, ",He is angry with me.,"Jumping to Conclusions (Mind Reading), ",cbt,Helen’s husband has not called her yet today. He is angry with me.,He is probably very busy today and needs to conentrate on his tasks.
Helen’s husband has not called her yet today.,Romantic,"Sad, Fearful, ",He is angry with me.,"Jumping to Conclusions (Mind Reading), ",cbt,Helen’s husband has not called her yet today. He is angry with me.,"There are many reasons why Helen's husband has not called her. It could be that he has a crazy busy day at work or he forgot or lost his phone somewhere. Also just because her husband has not called her yet, doesn't mean he is angry at her. He may be in a situation when he hasn't been able to call her yet. He may call her later when he finds the time and place."
Helen’s husband has not called her yet today.,Romantic,"Sad, Fearful, ",He is angry with me.,"Jumping to Conclusions (Mind Reading), ",cbt,Helen’s husband has not called her yet today. He is angry with me.,"First it all depends on the situation: if everything is going well between them she should just think he is been very busy with work, with the kids homeworks, with his friends, helping his parents , he is at a class, busy as well in his own world (reading, listening to music, dancing, etc) 
She should think: i am happy he is busy with something else, he will call me back when he will be free and without any danger (crossing the road, in the middle of a meeting, driving, while watching the kids, etc)"
Helen’s husband has not called her yet today.,Romantic,"Sad, Fearful, ",He is angry with me.,"Jumping to Conclusions (Mind Reading), ",cbt,Helen’s husband has not called her yet today. He is angry with me.,"Well, my husband seems upset but I haven't done anything to him. He may have had a bad day at work, or maybe something could be troubling him. Better talk to him to check it out."
Helen’s husband has not called her yet today.,Romantic,"Sad, Fearful, ",He is angry with me.,"Jumping to Conclusions (Mind Reading), ",cbt,Helen’s husband has not called her yet today. He is angry with me.,"The fact that he has not called doesn't mean in any way that he is angry. He might be busy (work, met with someone), having the phone without battery or he might be in an area without phone signal. Instead of worrying, one might consider calling him instead."
Helen’s husband has not called her yet today.,Romantic,"Sad, Fearful, ",He is angry with me.,"Jumping to Conclusions (Mind Reading), ",cbt,Helen’s husband has not called her yet today. He is angry with me.,"He is probably busy with work.
Unless you had an argument, is there a reason for him to be angry?"
Helen’s husband has not called her yet today.,Romantic,"Sad, Fearful, ",He is angry with me.,"Jumping to Conclusions (Mind Reading), ",cbt,Helen’s husband has not called her yet today. He is angry with me.,"We didnt have any argument last night or this morning and we did not part in anger or frustration this morning. There is no reason, why he should be angry with me.
It is more probable that something at work keeps him completely busy and if he is indeed annoyed, he is annoyed by work or something connected with it. 
If he doesnt call, then probably because he doesnt have a single minute to himself and I know that he doesnt like to call me when he is all angry with stuff from work because he risks growling at me without reason.
Also, while he usually calls me from work, we didnt have an appointment or anything like that,- so, he didnt have to call for cancelling anything either."
Helen’s husband has not called her yet today.,Romantic,"Sad, Fearful, ",I'm not a good wife.,"Labeling, Mental Filter, ",cbt,Helen’s husband has not called her yet today. I'm not a good wife.,If no altercations have occurred I can assume I'm neither a better nor worse human than yesterday. Maybe I can give him a ring instead during a time I know he's not too busy.
Helen’s husband has not called her yet today.,Romantic,"Sad, Fearful, ",I'm not a good wife.,"Labeling, Mental Filter, ",cbt,Helen’s husband has not called her yet today. I'm not a good wife.,"To not be a good wife, you have to be so horrible to your husband. Helen is upset and can only see the negative in her.  She could be a great wife most of the times and may be she made one or two mistakes. That does not make her not a good wife. No on is perfect and it is OK to make mistakes because it is how we learn to be better.  Helen should look at the big picture of how she is as a wife rather than only focus on one or two negative instances."
Helen’s husband has not called her yet today.,Romantic,"Sad, Fearful, ",I'm not a good wife.,"Labeling, Mental Filter, ",cbt,Helen’s husband has not called her yet today. I'm not a good wife.,I am doing my best so there is no reason for him to be angry at me. i can discuss with him later on why he did not reply to me and see how we can improve communication in the future so that we avoid misunderstandings and worries.
Helen’s husband has not called her yet today.,Romantic,"Sad, Fearful, ",I'm not a good wife.,"Labeling, Mental Filter, ",cbt,Helen’s husband has not called her yet today. I'm not a good wife.,My husband is not calling me today from work. He must be extremely busy at work. I will text to see how he is doing.
